pengirim,penerus,nama file,tanggal dan Waktu
(っ◔◡◔)っ 全て,el 抖音,Shopee - 活动群组SS07.vcf,28-05 20:35
(っ◔◡◔)っ 全て,@KazuhaIDBot,SS07.vcf,28-05 20:36
(っ◔◡◔)っ 全て,@KazuhaIDBot,SS07.vcf,28-05 20:37
(っ◔◡◔)っ 全て,@KazuhaIDBot,SS07.vcf,28-05 20:38
(っ◔◡◔)っ 全て,@KazuhaIDBot,SS07.vcf,28-05 20:38
(っ◔◡◔)っ 全て,@KazuhaIDBot,SS07.txt,28-05 20:38
(っ◔◡◔)っ 全て,@KazuhaIDBot,Admin SS.vcf,28-05 20:43
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,ADMIN NAVY XX.vcf,28-05 20:48
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX01.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX02.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX03.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX04.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX07.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX08.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX06.vcf,28-05 20:53
(っ◔◡◔)っ 全て,(っ◔◡◔)っ 全て,Shopee - 活动群组XX05.vcf,28-05 20:53
(っ◔◡◔)っ 全て,@KazuhaIDBot,Shopee - 活动群组XX01.txt,28-05 20:54
