pengirim,penerus,nama file,tanggal dan Waktu
@BALAJI336,@BALAJI336,大發橫財_1000_200 (9).txt,27-05 21:45
@BALAJI336,@BALAJI336,大發橫財_1000_200 (9).txt,27-05 21:50
@BALAJI336,@BALAJI336,大發橫財_1000_200 (9).txt,27-05 21:59
@BALAJI336,@BALAJI336,大發橫財_1000_200 (9).txt,27-05 22:01
@BALAJI336,@BALAJI336,❄️KSDDO 121.vcf,27-05 22:04
@BALAJI336,@KazuhaIDBot,KSDDO 121.txt,27-05 22:04
@BALAJI336,@BALAJI336,Lazada- NMBV 60.vcf,27-05 22:13
@BALAJI336,@KazuhaIDBot,KSDDO 121.txt,28-05 09:16
@BALAJI336,@BALAJI336,大發橫財_1000_200 (9).txt,28-05 15:19
@BALAJI336,@BALAJI336,新建 文本文档 (3).txt,28-05 21:10
