pengirim,penerus,nama file,tanggal dan Waktu
@BOSBINTANG,@tepenturu,8000数据_1 2.txt,28-05 12:51
@BOSBINTANG,@tepenturu,6000 (2)_2.txt,28-05 13:08
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 1.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 2.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 3.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 4.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 5.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 6.vcf,28-05 13:09
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 1.vcf,28-05 13:10
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 2.vcf,28-05 13:10
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 3.vcf,28-05 13:10
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 4.vcf,28-05 13:10
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 5.vcf,28-05 13:10
@BOSBINTANG,@KazuhaIDBot,CJ온스타일-BH 6.vcf,28-05 13:10
