pengirim,penerus,nama file,tanggal dan Waktu
@soyoullabcd,@soyoullabcd,AgodaRH2.vcf,28-05 21:13
@soyoullabcd,@soyoullabcd,AgodaRH2.vcf,28-05 21:15
@soyoullabcd,@soyoullabcd,AgodaRH2.vcf,28-05 21:17
@soyoullabcd,@soyoullabcd,AgodaRH10.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH9.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH8.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH7.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH6.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH5.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH4.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH3.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH2.vcf,29-05 09:34
@soyoullabcd,@soyoullabcd,AgodaRH1.vcf,29-05 09:34
