pengirim,penerus,nama file,tanggal dan Waktu
@yancukmin123,@yancukmin123,Agoda-B 70.vcf,29-05 14:33
@yancukmin123,@yancukmin123,Agoda-B 70.vcf,29-05 14:34
@yancukmin123,@yancukmin123,Agoda-B 70.txt,29-05 14:35
@yancukmin123,@yancukmin123,Agoda-B 70.vcf,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 68.vcf,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 66.vcf,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 67.vcf,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 69.vcf,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 70.txt,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 68.txt,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 66.txt,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 67.txt,29-05 14:39
@yancukmin123,@yancukmin123,Agoda-B 69.txt,29-05 14:39
